ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
spanish,Spanish,stan1288,,,,,,
czech,Czech,czec1258,,,,,,
hindi,Hindi,hind1269,,,,,,
german,German,stan1295,,,,,,
dutch,Dutch,dutc1256,,,,,,
portuguese,Portuguese,port1283,,,,,,
greek,Greek,mode1248,,,,,,
russian,Russian,russ1263,,,,,,
french,French,stan1290,,,,,,
polish,Polish,poli1260,,,,,,
romanian,Romanian,roma1327,,,,,,
bulgarian,Bulgarian,bulg1262,,,,,,
danish,Danish,dani1285,,,,,,
norwegian,Norwegian,norw1258,,,,,,
italian,Italian,ital1282,,,,,,
english,English,stan1293,,,,,,
armenian,Armenian,nucl1235,,,,,,
icelandic,Icelandic,icel1247,,,,,,
swedish,Swedish,swed1254,,,,,,
